OF,cycle size (av),cycle size (std),# of adjacent cycles,
0.75,5.0,2.1213203435596424,2.0,
0.75,5.0,2.1213203435596424,2.0,
0.0,7.5,1.118033988749895,3.0,
0.5,6.0,1.8708286933869707,2.0,
0.0,6.5,2.29128784747792,3.0,
0.5,6.0,1.8708286933869707,2.0,
0.0,9.0,3.9370039370059056,3.0,
0.5,6.25,2.165063509461097,2.0,
0.5,6.0,1.8708286933869707,2.0,
0.75,6.0,3.6742346141747673,2.0,
0.75,5.0,2.1213203435596424,2.0,
0.75,5.25,2.277608394786075,2.0,
0.75,5.0,2.1213203435596424,2.0,
0.75,5.0,2.1213203435596424,2.0,
